Year,SL.EMP.TOTL.SP.FE.NE.ZS,SL.EMP.TOTL.SP.MA.NE.ZS,SL.EMP.TOTL.SP.NE.ZS,SL.EMP.1524.SP.FE.NE.ZS,SL.EMP.1524.SP.MA.NE.ZS,SL.EMP.1524.SP.NE.ZS,SL.TLF.ACTI.1524.FE.NE.ZS,SL.TLF.ACTI.1524.MA.NE.ZS,SL.TLF.ACTI.1524.NE.ZS,SL.TLF.CACT.FE.NE.ZS,SL.TLF.CACT.MA.NE.ZS,SL.TLF.CACT.NE.ZS,SL.TLF.CACT.FM.NE.ZS,SL.UEM.1524.FM.NE.ZS,SL.UEM.TOTL.FE.NE.ZS,SL.UEM.TOTL.MA.NE.ZS,SL.UEM.TOTL.NE.ZS,SL.UEM.1524.FE.NE.ZS,SL.UEM.1524.MA.NE.ZS,SL.UEM.1524.NE.ZS
1960,35.5,78.9,56.1,38.2,63.4,50.1,35.41,62.56,48.87,35.14,78.82,56.34,44.5825932504441,93.9130434782609,5.9,5.4,5.5,10.8,11.5,11.2
1961,35.4,77.6,55.4,37.9,61.4,49,43.4,70.8,56.3,38.1,82.9,59.3,45.9589867310012,95.4887218045113,7.2,6.4,6.7,12.7,13.3,13
1962,35.6,77.7,55.5,38.3,62.1,49.5,43.3,70,55.8,37.9,82,58.8,46.219512195122,102.678571428571,6.2,5.2,5.5,11.5,11.2,11.3
1963,35.8,77.1,55.4,37.6,60.8,48.5,42.9,69.1,55.2,38.3,81.4,58.7,47.051597051597,102.479338842975,6.5,5.2,5.7,12.4,12.1,12.2
1964,36.3,77.3,55.7,38.2,61.1,49,43.3,68.8,55.3,38.7,81,58.7,47.7777777777778,108.108108108108,6.2,4.6,5.2,12,11.1,11.5
1965,37.1,77.5,56.2,39.2,62.4,50.2,44,69,55.8,39.3,80.7,58.9,48.6988847583643,114.736842105263,5.5,4,4.5,10.9,9.5,10.1
1966,38.3,77.9,56.9,41.9,63.7,52.2,46.5,69,57.1,40.3,80.4,59.2,50.1243781094527,125.974025974026,4.8,3.2,3.8,9.7,7.7,8.6
1967,39,78,57.3,43,63.9,52.7,47.6,69.3,57.7,41.1,80.4,59.6,51.1194029850746,122.784810126582,5.2,3.1,3.8,9.7,7.9,8.7
1968,39.6,77.8,57.5,43.8,63,52.7,48.5,68.3,57.7,41.6,80.1,59.6,51.9350811485643,124.358974358974,4.8,2.9,3.6,9.7,7.8,8.7
1969,40.7,77.6,58,45.8,63.4,54,50.4,68.8,58.9,42.7,79.8,60.1,53.5087719298246,116.666666666667,4.7,2.8,3.5,9.1,7.8,8.4
1970,40.8,76.2,57.4,45.7,61.7,53.2,51.3,69.4,59.8,43.3,79.7,60.4,54.3287327478043,99.0990990990991,5.9,4.4,4.9,11,11.1,11
1971,40.4,74.9,56.6,44.7,60.7,52.3,51.1,69.6,59.9,43.4,79.1,60.2,54.8672566371681,98.4375,6.9,5.3,5.9,12.6,12.8,12.7
1972,41,75,57,46.4,62.8,54.3,53,71.3,61.8,43.9,78.9,60.4,55.6400506970849,103.361344537815,6.6,5,5.6,12.3,11.9,12.1
1973,42,75.5,57.8,48.8,65.7,57,54.9,72.9,63.7,44.7,78.8,60.8,56.7258883248731,113.131313131313,6,4.2,4.9,11.2,9.9,10.5
1974,42.6,74.9,57.8,49.6,65.3,57.2,56.6,73.7,64.9,45.7,78.7,61.3,58.0686149936468,107.826086956522,6.7,4.9,5.6,12.4,11.5,11.9
1975,42,71.7,56.1,48.3,60.4,54.2,57.2,72.4,64.6,46.3,77.9,61.2,59.4351732991014,93.3734939759036,9.3,7.9,8.5,15.5,16.6,16.1
1976,43.2,72,56.8,49.6,62.1,55.7,58,72.9,65.3,47.3,77.5,61.6,61.0322580645161,98.6486486486486,8.6,7.1,7.7,14.6,14.8,14.7
1977,44.5,72.8,57.9,51.2,64.2,57.6,59.6,74.1,66.7,48.4,77.7,62.3,62.2908622908623,105.263157894737,8.2,6.3,7.1,14,13.3,13.6
1978,46.4,73.8,59.3,53.8,66.1,59.8,61.7,74.9,68.2,50,77.9,63.2,64.1848523748395,110.25641025641,7.2,5.3,6.1,12.9,11.7,12.3
1979,47.5,73.8,59.9,54.8,66.5,60.6,62.5,75,68.6,50.9,77.8,63.7,65.4241645244216,107.017543859649,6.8,5.1,5.8,12.2,11.4,11.8
1980,47.7,72,59.2,53.9,63.5,58.6,58.07,69.08,63.61,49.92,75.14,61.96,66.4359861591695,89.041095890411,7.4,6.9,7.1,13,14.6,13.9
1981,48,71.3,59,53.3,62.2,57.6,61.9,73.7,67.7,52.1,77,63.9,67.6623376623377,89.171974522293,7.9,7.4,7.6,14,15.7,14.9
1982,47.7,69,57.8,52,58.7,55.3,62,72.6,67.2,52.6,76.6,64,68.668407310705,84.8167539267016,9.4,9.9,9.7,16.2,19.1,17.8
1983,48,68.8,57.9,52.2,59.2,55.6,61.9,72.5,67.1,52.9,76.4,64,69.2408376963351,85.8695652173913,9.2,9.9,9.6,15.8,18.4,17.2
1984,49.5,70.7,59.5,54.4,62.3,58.3,62.8,72.8,67.7,53.6,76.4,64.4,70.1570680628272,92.3611111111111,7.6,7.4,7.5,13.3,14.4,13.9
1985,50.4,70.9,60.1,55.4,62.7,59,63.7,73,68.3,54.5,76.3,64.8,71.4285714285714,92.1985815602837,7.4,7,7.2,13,14.1,13.6
1986,51.4,71,60.7,56,63,59.5,64.3,73,68.6,55.3,76.3,65.3,72.4770642201835,93.4306569343066,7.1,6.9,7,12.8,13.7,13.3
1987,52.5,71.5,61.5,57.1,63.2,60.1,64.6,72.3,68.4,56,76.2,65.6,73.490813648294,92.8571428571428,6.2,6.2,6.2,11.7,12.6,12.2
1988,53.4,72,62.3,57.6,64.1,60.8,64.5,72.4,68.4,56.6,76.2,65.9,74.2782152230971,92.9824561403509,5.6,5.5,5.5,10.6,11.4,11
1989,54.3,72.5,63,57.7,64.7,61.2,64.4,73,68.6,57.4,76.4,66.5,75.130890052356,91.2280701754386,5.4,5.2,5.3,10.4,11.4,10.9
1990,54.3,72,62.8,56.1,63.5,59.8,62.9,71.8,67.3,57.5,76.4,66.5,75.261780104712,92.2413793103448,5.5,5.7,5.6,10.7,11.6,11.2
1991,53.7,70.4,61.7,54,60.3,57.2,61.7,70.4,66,57.4,75.8,66.2,75.7255936675462,87.4125874125874,6.4,7.2,6.8,12.5,14.3,13.4
1992,53.8,69.8,61.5,53.7,59.7,56.7,61.8,70.5,66.1,57.8,75.8,66.4,76.2532981530343,85.6209150326797,7,7.9,7.5,13.1,15.3,14.2
1993,54.1,70,61.7,54.3,60.1,57.2,62,70.2,66.1,57.9,75.4,66.3,76.790450928382,86.013986013986,6.6,7.2,6.9,12.3,14.3,13.4
1994,55.299,70.485,62.579,55.34,61.065,58.203,62.742,70.35,66.547,58.862,75.123,66.658,78.3541658346978,89.3931358436245,6.053,6.175,6.119,11.799,13.199,12.539
1995,55.699,70.823,62.948,55.131,61.543,58.341,62.485,70.381,66.438,59.048,75.05,66.718,78.6782145236509,93.7330785156872,5.671,5.633,5.65,11.771,12.558,12.188
1996,56.097,70.954,63.223,55.263,60.22,57.748,62.393,68.998,65.705,59.343,75.032,66.868,79.0902548246082,89.8286432950794,5.47,5.435,5.451,11.428,12.722,12.109
1997,56.859,71.379,63.844,56.051,60.297,58.192,62.928,68.446,65.711,59.898,75.086,67.204,79.7725275017979,91.8017639647207,5.074,4.937,5,10.929,11.905,11.442
1998,57.082,71.582,64.06,57.16,60.794,58.994,63.341,68.356,65.872,59.847,74.889,67.086,79.9142731242239,88.1948838470578,4.62,4.416,4.511,9.757,11.063,10.441
1999,57.43,71.645,64.253,56.957,61.022,58.997,62.909,68.027,65.477,60.034,74.72,67.083,80.3452890792291,91.8819188191882,4.338,4.115,4.219,9.462,10.298,9.898
2000,57.485,71.893,64.396,57.379,61.922,59.661,63,68.586,65.806,59.942,74.81,67.074,80.1256516508488,91.8279127212845,4.098,3.9,3.992,8.922,9.716,9.338
2001,57.005,70.87,63.663,56.043,59.373,57.714,62.002,67.033,64.527,59.787,74.443,66.824,80.3124538237309,84.1165660278288,4.654,4.799,4.731,9.612,11.427,10.558
2002,56.275,69.707,62.732,54.276,57.093,55.693,61.055,65.489,63.285,59.622,74.102,66.582,80.4593668187093,86.606864274571,5.613,5.931,5.783,11.103,12.82,11.997
2003,56.134,68.898,62.277,52.466,55.333,53.907,59.229,63.862,61.557,59.505,73.508,66.244,80.9503727485444,85.5035567203295,5.665,6.271,5.989,11.419,13.355,12.428
2004,55.97,69.19,62.345,52.225,55.549,53.901,58.663,63.586,61.144,59.164,73.326,65.994,80.6862504432261,86.8344014558114,5.398,5.642,5.529,10.975,12.639,11.847
2005,56.235,69.603,62.689,52.641,55.15,53.907,58.575,62.947,60.78,59.255,73.323,66.047,80.8136601066514,81.7939609236235,5.097,5.072,5.084,10.131,12.386,11.309
2006,56.616,70.071,63.12,52.251,56.206,54.248,57.861,63.321,60.617,59.363,73.464,66.179,80.8055646302951,86.2851548593806,4.627,4.619,4.623,9.695,11.236,10.508
2007,56.638,69.763,62.987,51.801,54.425,53.127,57.196,61.535,59.389,59.308,73.223,66.04,80.996408232386,81.634066124286,4.502,4.726,4.622,9.432,11.554,10.543
2008,56.247,68.504,62.177,50.18,52.254,51.226,56.498,61.015,58.777,59.471,72.953,65.994,81.5196085150713,77.881468068807,5.422,6.1,5.784,11.183,14.359,12.846
2009,54.418,64.546,59.32,47.007,46.698,46.851,55.228,58.466,56.859,59.195,71.952,65.37,82.2701245274628,73.9603517662841,8.069,10.294,9.254,14.886,20.127,17.601
2010,53.569,63.694,58.472,45.074,44.932,45.002,53.554,56.751,55.166,58.623,71.184,64.706,82.3541807147674,76.0359149181351,8.621,10.521,9.633,15.836,20.827,18.424
2011,53.186,63.869,58.372,44.896,45.994,45.454,53.276,56.605,54.969,58.104,70.475,64.109,82.4462575381341,83.9157108562283,8.463,9.374,8.949,15.73,18.745,17.309
2012,53.131,64.388,58.561,45.401,46.558,45.984,53.201,56.535,54.881,57.684,70.159,63.701,82.2189597913311,83.0792769309231,7.893,8.225,8.069,14.661,17.647,16.211
2013,53.158,64.403,58.584,46.033,46.943,46.492,53.48,56.594,55.05,57.206,69.728,63.249,82.0416475447453,81.6571864188119,7.076,7.638,7.375,13.925,17.053,15.546
2014,53.521,64.88,59.007,47.059,48.209,47.638,53.581,56.411,55.008,56.974,69.214,62.885,82.3157164735458,83.7150127226463,6.06,6.262,6.168,12.173,14.541,13.397
2015,53.742,65.343,59.343,48.198,49.003,48.604,53.794,56.181,54.996,56.677,69.05,62.651,82.0811006517017,81.4182842830307,5.179,5.369,5.28,10.402,12.776,11.624
2016,54.081,65.771,59.729,48.763,50.052,49.413,53.787,56.521,55.165,56.801,69.189,62.786,82.0954197921635,81.6076889471385,4.789,4.94,4.869,9.34,11.445,10.427
2017,54.578,66.033,60.114,49.877,50.802,50.343,54.266,56.649,55.466,57.035,69.069,62.851,82.5768434464087,78.3644995639957,4.309,4.396,4.355,8.088,10.321,9.237
2018,54.888,66.33,60.422,50.339,50.58,50.46,54.521,55.901,55.216,57.078,69.055,62.871,82.6558540293969,80.5861960289946,3.838,3.947,3.896,7.671,9.519,8.613
2019,55.356,66.58,60.784,51.097,51.276,51.187,55.146,56.599,55.876,57.429,69.154,63.1,83.0450877751106,78.0648591174907,3.61,3.722,3.669,7.342,9.405,8.392
2020,51.511,62.388,56.772,45.317,46.407,45.864,53.212,54.597,53.907,56.201,67.664,61.746,83.0589382832821,98.9000733284448,8.345,7.797,8.055,14.836,15.001,14.92
2021,53.166,63.903,58.361,49.673,50.559,50.117,54.526,56.505,55.519,56.091,67.599,61.659,82.9760795278037,84.5686050931205,5.215,5.468,5.349,8.9,10.524,9.73
2022,54.736,65.467,59.965,50.564,51.537,51.053,54.644,56.487,55.57,56.788,67.97,62.236,83.5486243931146,85.2105443341321,3.614,3.681,3.65,7.467,8.763,8.129
2023,55.352,65.529,60.326,51.951,51.624,51.786,55.918,56.579,56.251,57.332,68.118,62.604,84.1657124401773,81.0116464946335,3.454,3.8,3.638,7.095,8.758,7.938
